Edible	Poisonous
2.553632082388072e-18	2.0633380403515256e-06
6.8311903686637284e-18	4.822438815093698e-06
1.431195040332574e-13	1.102720501658142e-06
1.0041466603942195e-09	4.8076801799161425e-14
9.575278699307433e-12	8.269261036392798e-06
1.8399624360157627e-06	1.498574683347662e-09
6.327389392622057e-10	2.2225889635108104e-11
7.51184180657342e-12	3.3604441843786624e-12
7.668118151920669e-14	8.407333764560689e-07
9.506211761901091e-15	2.538932613771573e-06
8.419818102838444e-06	1.5611837648090047e-10
4.105218410052033e-06	3.3534373544450835e-10
4.46710218770381e-10	1.794611680080096e-17
2.92811781307066e-20	1.4065810810434745e-07
3.0167330565633023e-20	3.9156644355643973e-07
1.3864725508130059e-06	1.3783327487039252e-11
9.374030947535402e-19	1.58002009691659e-06
7.982617503813178e-06	1.4009524923623523e-13
6.037694701476385e-13	1.1326275430091652e-05
9.796689667936671e-11	3.080795175356731e-10
4.9553486198315793e-17	1.4374010602626527e-05
3.322213135185002e-09	2.6049563005032775e-14
2.596487261809807e-21	8.054504814232125e-08
2.1191488253699105e-12	4.648237946911349e-06
1.4302806057187797e-11	8.907272601031601e-07
3.804138195305036e-06	1.263011599830639e-10
1.9210114321602864e-10	4.530092247570811e-06
5.01972733761445e-18	9.772260735775083e-07
1.9848509808758106e-19	6.237171672666333e-08
2.412665248901788e-07	2.199734634954239e-13
7.34369185196839e-12	4.15009394669449e-06
7.126402311659717e-13	2.0039031946527378e-22
1.974157427297299e-06	1.4716541800539915e-09
1.149772493447123e-06	2.2078950435149287e-10
3.3031570322621643e-06	8.351139831576328e-10
2.566969078903267e-11	7.259881606986422e-13
6.113010252369669e-09	7.668372019122957e-12
1.833244365327621e-06	1.0731557575057089e-16
4.0549135848356163e-13	1.0003631637249997e-06
5.74911109048372e-13	1.7833330537893276e-22
3.7756190265752247e-10	4.398868490019064e-15
8.224562033908329e-07	1.0561419145934818e-16
6.580873407019176e-07	1.1384962538022296e-11
1.033034366646037e-13	3.798433009901184e-05
6.267698525428138e-10	7.543449598869069e-06
1.3827083158094726e-18	3.3011020689874235e-06
9.00822957606021e-12	1.212347651330656e-13
9.575278699307433e-12	3.0233316368350168e-05
7.086136258271484e-07	1.1334176807155709e-11
6.14425243339994e-08	2.7053110981164394e-14
7.690567382496228e-06	1.542864074894806e-12
1.338322400001977e-07	9.519862071476342e-15
3.088283232643658e-08	1.0070960564690233e-15
2.8392210312513118e-11	3.874039591619147e-06
6.928967262925137e-14	1.533714551466878e-06
7.204154160205492e-07	4.8701067114356976e-11
2.0866715000999068e-17	2.708209571897388e-06
1.3095517705779915e-08	4.2968659993016687e-13
5.090142478244535e-16	5.715792908777784e-06
1.9969638834960286e-11	1.842974260791893e-06
2.3869857232552003e-12	4.713296533439e-09
5.3704121636008966e-12	6.379300796244874e-12
8.649187452114277e-19	3.577169340895927e-07
2.069594527728652e-10	8.156052540132947e-08
2.6030026051602267e-09	4.013826621125156e-09
3.470959361710409e-07	1.9826294299240777e-16
1.911697817953294e-05	4.2583873533533845e-10
2.2486623241274993e-07	2.2399736831546214e-13
6.401833816212204e-11	7.654440389974821e-12
1.0247323778968005e-22	1.1875649995905273e-08
3.666599998864773e-10	3.660523793547816e-06
1.189325986831608e-12	2.747858314669205e-06
1.2859830147864946e-09	1.5251297603919043e-18
1.1893652101636224e-06	4.69494923046279e-10
1.7873533291358305e-08	7.543518755266951e-17
5.419222873234348e-13	4.3684649234499995e-06
7.63844815120727e-19	1.361764765229785e-06
4.530713379012968e-08	1.2566074292330409e-17
2.707650449468376e-06	7.749663940528927e-13
9.214103229519179e-07	6.685525601057817e-12
3.9636584750684696e-08	4.594530880820297e-16
2.8519100941677444e-07	4.972653985534412e-13
8.999512974622275e-07	1.9198789993392846e-12
1.8494131595191195e-12	6.136300067129266e-09
5.767675439097056e-11	1.7600538864527335e-06
1.3407177697007917e-12	2.576824187152363e-10
3.582820651992107e-14	7.294069646013192e-07
4.621195283305862e-12	2.0132829124739006e-05
1.0699311103238682e-17	2.2461364946210158e-06
1.942305068860349e-12	2.0811889287130367e-09
2.7722293880884946e-08	3.1270680194882865e-13
4.2334532605758575e-06	1.1877793366590769e-11
2.174735269650764e-12	6.277623439554326e-06
4.738574360164287e-19	6.610907799917742e-07
9.318872909425757e-11	6.076427686369113e-11
3.6876342291963063e-06	5.730156696724926e-11
3.2072919335757305e-08	3.622013851550365e-16
4.640542646557093e-06	3.6694306576399264e-14
8.855074282039269e-14	5.158485516211625e-07
2.6916505409895788e-14	1.4712436131209316e-06
7.218916856308026e-06	5.980529781411657e-11
2.621400503782996e-12	1.4852350774725133e-08
4.119799963288584e-12	1.6144526452112176e-06
5.1428128009066865e-12	1.9057121167532342e-12
1.1429029268757574e-06	1.5576749053110065e-10
3.439323023048126e-11	7.457621700979527e-13
1.2962388479640142e-16	8.266481062029438e-06
5.426433660197698e-19	1.630800485123511e-07
2.537314165054015e-19	2.6053579382599213e-07
8.17091797724558e-07	2.0758918463217482e-11
2.2516073696971993e-06	5.306900819217816e-11
2.3977068062437366e-18	1.036837271098665e-06
6.043042051180284e-09	9.165077397966056e-16
2.548813639243968e-12	2.6753160890723778e-05
2.5770150483536765e-11	1.4588168633370941e-12
5.421804574962911e-20	6.1824243678214e-07
1.6129360356148016e-20	2.4585398486804153e-07
5.336032051791405e-20	3.1270230011425026e-07
1.0191370743674282e-11	2.7164655269920258e-11
1.044207136395204e-06	5.983181654738225e-11
1.1410698059813347e-06	2.5036441567098807e-13
2.27032854874252e-06	2.862799039098234e-11
3.0252911101365915e-06	6.976523281073384e-11
6.124485824556038e-14	1.4351154707776438e-06
1.2649995878172388e-05	9.935069171758058e-10
1.8559415140218442e-12	5.370375440343356e-07
1.806278142130497e-05	3.523944880306041e-11
1.7516224918701717e-07	4.702503270220703e-12
1.890977747561278e-08	3.639299670793669e-16
1.5036997723592738e-06	2.8134083372446926e-16
9.094629784276653e-11	4.202129413337564e-05
3.2160771697215824e-05	5.197314554068707e-10
3.2237434938391805e-07	1.365365628088286e-16
3.0661569748612707e-24	1.5174482487791113e-18
9.21726704984774e-06	6.67822270419305e-10
1.2511483455343466e-06	6.663212975233807e-10
2.275562317427979e-12	1.2460479511227807e-05
3.140962262502677e-13	9.711334749560161e-06
5.964683304809634e-11	3.4578680849458634e-11
2.924582351476916e-06	3.280851488937217e-11
5.455088610724217e-12	3.083638678830621e-05
4.099932205087497e-07	1.118813309523924e-13
1.4548314652854058e-06	3.0616434910365545e-10
2.78491064413551e-10	4.4769255400568625e-18
1.4183502513297144e-10	6.701053065082394e-20
6.211618105648241e-18	1.100948424111144e-06
3.419903066856168e-06	6.510403341043339e-11
3.3932393654123356e-08	1.7474065148116521e-15
8.929181391108966e-09	2.128855540876047e-12
2.4814638133743545e-06	1.8289804277408643e-10
2.1791586566576673e-14	6.775391764226015e-06
2.247119367988065e-12	5.343543854686894e-09
4.919295235716534e-07	4.09266522286983e-11
1.5020207544448036e-05	2.867861863438614e-11
2.4472287834941917e-12	8.494771189586151e-13
5.313000266406801e-09	1.659397933944557e-19
2.8961736545785845e-13	5.048928404459903e-06
2.2792984435585317e-06	5.960597194657633e-13
2.000044240051751e-18	1.8573392209807703e-06
4.731540621523319e-18	2.578358558293205e-07
3.3132305923436635e-05	6.65047177638917e-10
4.480306750791781e-08	1.0111062823867045e-13
5.73786008089744e-07	4.665818804266332e-12
1.5645637526235129e-18	4.4464307209053106e-07
1.0866249340677088e-06	2.4929288861572525e-12
1.3664923277805744e-10	2.4576494193544543e-06
1.6422845123507918e-11	1.7265908846202594e-06
6.292835608540373e-18	1.0311970196127028e-06
4.2014841007971545e-07	1.1683736166388366e-14
3.185082537236057e-08	2.408972050237499e-11
2.0523801058246167e-17	1.4441165116950218e-06
2.050482441030351e-05	3.3354814509764754e-10
3.335245343835231e-06	2.4532381717045955e-10
6.072768393328345e-08	2.401764641163122e-11
4.122715752478307e-06	1.3296510494577734e-13
5.0929479862118e-06	3.461701429947538e-11
2.5745206077166667e-09	7.63920049419392e-17
5.2256214915300146e-14	4.714710152124361e-06
9.198309079358608e-11	4.8323687199808856e-05
8.944193321491977e-23	1.501746809366387e-17
3.7484401164185305e-08	8.387090142941072e-12
1.5933719660522692e-06	3.917815319860076e-13
8.531221301235337e-07	1.2125106321969752e-12
1.64097707992964e-08	7.115262847164665e-15
4.0664733507866546e-21	1.4989926626684153e-07
3.093429994419973e-07	2.140393823445071e-14
1.7070284898944483e-07	9.186174445240183e-16
3.2448296075153496e-19	3.064421627614053e-07
1.6700847557933313e-12	7.155991479847949e-10
1.6237859562983842e-06	5.831578799325287e-14
1.25999574275321e-10	4.671531765144409e-06
4.374666491136245e-15	4.8128827281982465e-06
1.4650761820439842e-07	4.072279026953464e-14
5.785082854072752e-07	9.670959615391066e-15
2.5043724745925685e-07	1.293488780346488e-13
1.6072567984831873e-18	3.1480302751762654e-06
2.5121610131533124e-07	2.3896427881872464e-15
8.262367113833121e-08	5.941814500357465e-16
9.479840044642063e-11	2.580468168936245e-06
4.712043788326281e-12	1.8540321344826468e-11
3.7589591234247693e-07	4.243553861149235e-12
1.0770059374732206e-05	2.3650299606117823e-10
6.389338854911432e-10	2.9033776703637e-05
3.120305097613718e-06	3.3111385184749145e-10
1.9673623558947395e-21	9.445772319526451e-09
1.0874684440238126e-05	6.947532784279438e-11
5.462691685897209e-12	1.9201446095520516e-06
8.246582246638288e-09	1.1272555088407395e-16
7.306652809880345e-11	1.3402106130164781e-18
8.482416232282408e-06	4.68335228672464e-13
6.531420946318278e-07	1.881260586582532e-14
3.952103395692662e-11	5.844303122778476e-13
1.95354906010965e-09	1.9311743859865146e-11
3.88736862774066e-10	5.673116759656217e-06
6.179193056157495e-12	2.6227309263719587e-23
2.4685334706788845e-07	4.345816045358994e-13
9.775477245774027e-07	2.7449173172205076e-14
2.5907693391755417e-06	6.829104205765796e-13
2.2466821223396187e-10	3.9841491925564436e-18
4.271466734992548e-11	1.6885233096599622e-07
1.5926199312472455e-06	1.3096688253407886e-09
8.51920989712969e-07	5.40361733094741e-13
6.395781822500144e-12	1.2566818733963155e-08
1.7775762621224615e-06	2.4945546332727496e-13
5.376654916330352e-13	1.2461666839545705e-06
1.877912959958569e-07	4.694325763673405e-13
3.0173782777855515e-06	1.9522655203637972e-10
1.5545596685364075e-06	1.8092682920914906e-10
4.066368308588447e-06	2.7237340461648023e-13
1.3894298743398371e-08	1.8365044633045103e-14
8.256079418151164e-11	4.867129406843443e-06
2.85593105914309e-07	1.115807330242612e-12
7.185675032146599e-13	1.421079558337008e-06
2.7751049001874872e-11	3.286401239230482e-20
8.960939902067122e-06	1.5079429298831154e-10
2.3845305788325786e-14	1.247152029132602e-05
4.232396055331461e-06	1.1758392500919194e-13
9.047270977464147e-14	4.38854714004421e-06
1.5755508078138318e-11	8.0547319462253e-06
3.702185113112004e-20	4.543243193643165e-07
3.3581386690992995e-10	1.119819794697875e-16
1.3631629580275787e-12	7.591001494143927e-10
3.2678437666740057e-06	9.314774745698838e-12
1.5895774314313313e-08	7.647515358639284e-16
7.750472313709257e-07	1.3713962568408255e-11
1.8164482349476388e-06	4.7227688789292035e-11
7.05887127945218e-07	4.88793496506903e-11
1.0059867412388191e-11	1.6226649835268472e-06
1.4144312703524871e-06	2.813305407671366e-13
2.7779655368215815e-07	5.746190158276577e-13
7.484120727623054e-13	1.3330339654670223e-05
4.8743753461870166e-20	7.310114918004825e-08
5.151504066747256e-16	1.0467998211708265e-05
1.0034149633278626e-08	3.6383903737927504e-19
1.4370998173436357e-18	2.418093716144361e-07
4.94829159560478e-11	3.260004570758177e-09
1.4014845310357596e-06	2.864873123901618e-16
2.4285338156448776e-07	1.12377795985022e-15
1.0886012062810649e-18	9.980788651105254e-07
2.0915653261317952e-20	2.7956112466942647e-08
2.0665624681035726e-13	2.026524867593311e-25
1.5985463902468122e-12	2.389949462428207e-09
6.298305185095665e-07	5.2408089304331794e-14
9.822330409504313e-10	2.745624933149681e-14
7.571145388208472e-21	2.0623001257900613e-07
3.231506005235974e-07	7.792234834518428e-13
6.0970004454880705e-12	7.966731556355771e-07
5.2487031458685574e-12	9.83069027958349e-13
2.5399695115196098e-17	1.5326554930733907e-06
4.0129406227371614e-07	8.739188625921369e-11
2.312923968456546e-12	2.5109665538969566e-13
4.604440725929338e-06	7.154875916510446e-14
1.9810908401999254e-19	1.4408328114936613e-07
2.814188483418544e-13	6.112287488157934e-06
1.2364889006877768e-14	3.0043821078730233e-06
2.774618842836135e-11	6.636759359185527e-13
3.5554837988189564e-11	5.727298731934657e-09
1.0303710982058898e-19	1.016672234540792e-06
6.6604359663739036e-15	3.0348659921601738e-06
2.569102181666544e-07	8.619589824488003e-12
1.3806034701698664e-06	6.182973015664647e-14
1.1091384525488298e-12	6.006539700353094e-06
9.575278699307433e-12	7.895086328863703e-06
1.7143474539731305e-08	2.7121905808709618e-11
1.5447742454382172e-20	1.2824878354862505e-07
1.1104164137126547e-13	1.583705275283453e-05
3.923123535648753e-17	6.302101821066855e-06
1.8687263540663914e-06	1.1097523642081425e-10
2.3031945314993403e-20	1.3912501944227583e-07
6.717379871559217e-10	3.7218763024350956e-15
1.8225944828526842e-06	2.0687303842594912e-11
7.045815047601614e-07	4.499540521016036e-14
5.4620985375610607e-11	4.013876662557513e-09
1.340245939241144e-06	1.0517362694190223e-12
3.745621130210411e-11	4.666564507644088e-09
5.1802015960709256e-11	6.034237191459581e-12
2.859738590937503e-07	1.0719672024660631e-11
1.4156734869136916e-08	1.394847003493398e-17
9.974049833407229e-14	9.4984439239347e-07
1.7222307060962206e-09	3.9670801496911215e-18
6.760489289520579e-06	5.985775860167285e-11
1.103933824244419e-07	3.812856979744436e-12
4.5298361793830354e-05	2.268432670558868e-10
1.4894899242323973e-10	6.913763065024046e-18
4.891918188823117e-12	1.0010519979819776e-12
1.58211314867697e-06	1.1737850821734163e-10
2.2177904445130743e-07	1.0460872708812859e-12
1.5469762496882573e-12	3.251609085953098e-06
2.8791600513699187e-07	1.1382860227218935e-17
5.2133050950060037e-08	1.508133198375258e-13
6.7804269961007064e-18	4.587259568235488e-06
1.6864400608100478e-13	1.1054674609566046e-05
3.9114093815587677e-19	4.460154272513044e-07
5.826285773826996e-06	8.461330529650271e-10
1.1248652942094756e-06	5.8706268509967645e-12
6.848872561560357e-18	2.8291789545300856e-07
3.6327854185672273e-12	1.3895156358499336e-05
9.162393486198878e-18	2.300187907593178e-06
5.199030163464418e-10	1.781220455710644e-10
8.302404013661023e-07	2.1646421755179907e-14
2.111751159303769e-07	5.021523803325089e-15
2.699935162817988e-06	5.682136107914905e-11
3.592029956318148e-06	3.7542169197561054e-14
1.552175217374411e-17	5.629787448410367e-06
7.785860831826582e-12	6.736684900479335e-06
4.3128507362368975e-07	4.0038818162411484e-12
1.9607581003437463e-20	1.2246467158624381e-07
1.3827142819459747e-16	1.8870640102374284e-06
2.0670342964721575e-07	1.0652230136413056e-12
8.498067871916264e-06	2.7412978922633936e-13
3.191479774470981e-06	1.2844866064474108e-10
5.154496934803978e-10	2.583802142244042e-05
1.8944243949736992e-17	5.389845850725685e-06
7.355981093479061e-21	1.0491071360170593e-07
9.499587409602433e-11	1.5280628005517946e-14
1.949750138474814e-19	7.287622256718654e-08
6.181493573110951e-12	5.29315528175151e-06
9.405604702558891e-20	1.2186788158934417e-07
6.168644734855706e-17	7.129104210128001e-06
6.771366572251539e-12	2.259893818528291e-06
2.9268303542623267e-13	8.99845208304666e-06
1.692189388945866e-06	3.719987024290469e-16
3.0129397747586896e-12	2.5515508701993197e-06
2.959862055250855e-12	3.850435409242746e-06
3.5180429389351614e-06	4.006885518854271e-12
9.325232359006105e-15	2.411774627879722e-06
8.740796950221393e-06	2.983279677334229e-10
3.6682856114046026e-19	7.602981955388364e-08
2.2072132581003044e-12	2.5913528349641646e-12
3.778267244549346e-06	3.206755841229305e-11
1.305071164212869e-07	9.29689177855991e-15
6.609428531646001e-07	4.236471965966349e-13
2.63449968278165e-07	3.6824234753717186e-14
2.1529280896569196e-10	2.64590071566681e-10
2.9073708569444165e-13	2.009398541192016e-06
1.0266892612392282e-19	5.077800137028696e-07
6.798368458437048e-08	2.6486626285135297e-13
1.4341938589461868e-05	2.1139240011432853e-10
5.1712617805173904e-20	2.7706134492989566e-07
8.95125408969752e-21	1.0385161928827572e-07
8.436613319349322e-09	1.3454435929603623e-14
5.822853684566916e-10	8.823860702577108e-10
1.7918703793974907e-09	2.4185041494817187e-12
2.78744032453633e-21	8.703874500282907e-08
5.0161300306392e-11	3.9883358709122065e-06
3.49790769022838e-06	3.407217908640104e-12
5.19647645702086e-12	2.167298244190521e-12
5.029514438164833e-08	1.8496706911814672e-11
3.016411316126879e-13	6.727508307405696e-06
5.218742487435677e-09	2.2999792424296173e-17
5.462691685897209e-12	7.3529708270998016e-06
8.853581169912673e-09	2.0122476028744466e-14
1.3469432613443615e-06	2.80126482733986e-12
1.2364889006877768e-14	1.0984347254124004e-05
2.4974206725124173e-06	5.3219397863640786e-14
2.1791586566576673e-14	1.8531702721459754e-06
2.276805000412523e-19	7.116372647552946e-08
4.176551621666767e-08	6.122278337953788e-14
1.2482443512625198e-10	3.0193081838432495e-11
3.7747412379468925e-14	1.7667966241066641e-06
1.8102506081126431e-09	7.204049490113338e-06
1.2871726213969115e-09	5.5356575092951216e-18
7.7074712604334e-18	6.327013674219339e-07
8.356191222283717e-06	6.353452642216403e-11
1.1996323216916967e-13	5.466875865883651e-06
1.018594917041603e-07	1.522286147662004e-12
2.300786715409023e-22	2.3649833602700076e-08
1.5060509007226454e-11	1.549568014612083e-06
3.172143179920537e-10	2.444934545146207e-17
3.5633454825281706e-06	5.255749508382323e-12
1.0675684411074166e-08	1.892833947263546e-11
1.611018675035856e-11	1.7178483015117412e-06
2.9753557367837013e-09	3.68687571786511e-05
7.74985197380622e-23	4.6296392809877045e-08
1.1088749217235817e-09	2.4753419123281168e-05
3.140962262502677e-13	2.536004495244051e-06
4.2883204770897485e-12	5.5576758060896625e-06
4.111436652202293e-10	1.0111434735792244e-09
1.2385622441697354e-11	1.3860247926997478e-06
5.373200193748075e-15	1.0342467054761645e-05
4.917705504554143e-18	4.826968102572367e-07
1.7645988688537012e-13	3.264581264550515e-06
7.902982826960983e-06	1.306834056083342e-10
8.380072282919934e-06	6.726121821819555e-11
1.6326660806118782e-07	1.025872862956593e-11
1.4682019968166649e-18	7.35922411459363e-07
1.0928846597755923e-07	1.4949396899195729e-12
2.980572423623801e-07	5.642965185373405e-13
5.914595614010189e-07	5.378047864554444e-16
1.3894033750693568e-12	1.2599318212953601e-05
3.0418968308953445e-19	1.342401911822679e-06
2.3363728819659955e-20	9.679256672410283e-08
5.359552626777039e-11	2.413818900279502e-11
1.4626677812798518e-12	3.220364160457566e-06
7.673048402048643e-12	3.703645118664437e-07
2.069988005476237e-12	4.3063416138363954e-21
1.7432577255358115e-07	4.7843278926520214e-12
4.734807564594464e-13	1.2697606997376727e-06
4.5803394907106334e-06	1.3602961232213352e-11
2.0228889138497014e-20	1.2818808659787043e-07
3.31181929645949e-06	2.9843236409581535e-10
5.731351895597481e-06	4.577182853586073e-11
6.077911573205498e-20	2.1299403986185593e-07
2.3326998685185433e-18	4.823513669119047e-07
8.397795558015986e-06	4.368716497022042e-10
1.5291241269672178e-06	3.6901200596604896e-13
2.9069956298588673e-06	2.490975329326949e-14
3.9415415163599017e-10	7.55859941449418e-15
1.221144725545223e-13	9.90865059471847e-07
2.1412562474494066e-11	8.121134521785416e-07
1.8251641951990857e-06	4.6419970779532975e-11
8.653228547482634e-12	1.1863276574891222e-20
6.173611710903828e-13	2.530059033542291e-06
1.0858141242807415e-10	5.2865305817127155e-06
6.257674907142078e-12	3.766060055095604e-09
4.403247305799816e-06	2.626658207585321e-10
1.4789405721632926e-06	9.55033226820072e-17
7.86580743799714e-11	2.7353652981554355e-20
5.765392360337765e-07	4.586020999734918e-12
7.923660188287588e-07	1.1631253928312572e-15
1.8231206745877009e-06	1.5260434657308184e-12
1.7242511770752002e-06	2.7811356492613797e-14
2.1210750106314358e-08	1.098948327773333e-11
3.1380774831136846e-12	5.967443700448491e-06
2.1639808030637857e-05	8.922130267888525e-11
5.30790826350692e-08	4.947712377349662e-12
3.919114218767011e-11	6.567151140595816e-13
5.472467586444113e-12	1.7484085056529084e-09
2.552366069476361e-12	1.665887058216641e-06
1.8623597827609513e-07	1.7250706417021936e-13
1.3291240555584784e-10	2.4904070504974914e-09
3.779249791690143e-11	1.920655039089021e-06
8.542404901573612e-11	2.1004225314511043e-11
2.6520434080196177e-17	2.9381133292318484e-06
4.873142638434439e-10	5.1917306807722835e-17
6.0801378990831e-07	1.662365229850331e-16
6.32682473761574e-12	8.070704317618426e-09
1.5227263560541836e-08	7.020208675627456e-12
1.6437540729844804e-07	1.0893399894202036e-17
9.038364399301093e-07	5.228959608510652e-11
4.014913805518171e-09	1.5529106605684443e-16
7.830301749679308e-22	3.0668901864463886e-08
5.342027119495651e-06	6.10448940754111e-11
7.510973216734851e-07	1.7639507514036628e-11
1.6619080868160875e-12	2.8955366524054085e-10
9.6718173072488e-08	3.240204834717388e-13
3.110006935054468e-13	2.2276155925372606e-06
2.5741784179332765e-11	5.481605536656618e-15
8.113058041777752e-06	7.272244820495975e-14
3.4595339606421053e-12	1.2915761765607094e-06
1.5892809767659136e-05	4.3468448997665576e-10
1.2220872934649186e-08	1.6928087355572215e-18
4.807509747900612e-11	1.065662405269541e-05
6.097790838930752e-07	4.5988632899089937e-11
6.336674145134081e-19	1.5924788027054662e-07
1.8638528543045092e-19	1.2637262108540282e-06
9.18619973231309e-11	1.6425282473235902e-17
7.278892248764813e-12	4.028513122621155e-23
2.3743464985394136e-06	1.611721234262447e-10
8.137280701690065e-13	6.921515530959009e-14
1.773524743153869e-19	1.0635681013108552e-06
3.537985346984881e-08	5.9897149894356205e-15
4.246206501952687e-06	1.1870828003871e-10
6.921012121069814e-21	9.402207391416619e-08
2.4924433583851544e-19	3.0441465289129873e-07
3.75418174812088e-13	4.312403060286307e-09
8.32797177910603e-20	2.721733179156688e-08
2.438812310661261e-10	7.102553870384247e-14
1.0864650740033994e-06	1.0975492791815641e-10
1.2893216103140382e-12	3.320669310848085e-06
3.1574039304228325e-10	6.641705084814901e-06
3.0373555513110645e-09	3.939035738037354e-16
6.227669695615832e-20	1.1298817336101003e-07
9.109721888302739e-07	1.2114479585491244e-12
5.280361527718889e-08	1.8137370426318185e-14
8.414033463788623e-11	3.0324210277577265e-20
4.633353080035279e-10	8.287916961120814e-18
3.3746672329130595e-10	8.818908526021174e-10
1.922239610281452e-12	2.1476161265489283e-05
9.518989121137428e-20	2.2319086553727524e-07
1.4521174895057612e-15	9.887567412883932e-07
2.216738610100745e-18	4.097195407617281e-06
6.243683442166044e-08	5.560514986776864e-13
8.136266334848523e-20	2.97288277152478e-07
5.835265233054354e-10	1.0339412602086395e-11
2.74454020322557e-19	6.085371755792825e-07
1.819933193049048e-18	8.269443939293355e-07
7.442414843443809e-12	4.73832529552463e-06
9.077302133195548e-08	1.9047251502783635e-15
5.64304201580013e-08	4.91932462968355e-15
1.928538696231167e-10	1.8695352786851117e-12
4.818649759762014e-10	6.374791727297908e-06
3.8550586799297816e-13	2.5031364684563428e-06
1.2992788892054879e-19	8.533264067671003e-08
6.975249384941467e-07	2.466715399348736e-12
2.350296859115821e-19	6.231811183071258e-07
4.6959385900164915e-07	4.589855275880372e-13
2.917782879495048e-07	4.669399071231735e-11
2.968030829964551e-07	4.1148854647693304e-14
1.6573843029250946e-08	2.6213955932583043e-15
3.517256897697986e-07	2.348708923084827e-11
5.422982552449986e-07	1.0055974452982348e-13
7.886209926220404e-07	2.4427835609924888e-14
7.978849892529726e-06	4.683180944567803e-10
4.0087521394587815e-13	4.308623565930225e-09
1.0735135312088873e-06	1.1618268391125349e-10
1.4703242559291693e-09	8.052388775337243e-06
8.676326141512194e-21	9.921479278909504e-08
4.4112983205152597e-10	9.929792195628312e-10
1.9569715013945807e-13	2.5509715535760826e-06
4.2674667960186424e-08	1.0311382588770259e-10
2.4225969558650954e-17	6.868496352907963e-07
1.2772883468793152e-05	2.918534645836706e-10
5.634454265422e-11	1.185961469630809e-05
2.9974616521423186e-05	5.292387381277281e-10
5.692012501031287e-20	7.138336760662679e-08
3.0759380324381616e-06	2.0551964280140695e-10
2.5608615451913983e-10	1.2976166504071806e-12
6.884781733153766e-11	6.641004303237907e-15
9.751407438824899e-10	1.0279625094436138e-13
1.411211886149199e-10	3.487849731026285e-17
5.126981730270658e-06	1.541405997129963e-10
1.2242112694091887e-09	1.833857388215438e-14
1.0701321954168363e-06	1.1741839469639443e-13
1.8870588228632635e-14	1.0542914072690818e-05
3.2535240341979717e-07	1.3407890467826906e-13
2.8583742545509443e-12	3.1851654481244793e-13
9.446990277478643e-06	3.5615603318955606e-10
2.9084874594462827e-06	5.575244532267665e-12
7.791648048954974e-07	1.2012708178475585e-10
1.760263041982285e-06	4.752699753420853e-11
4.2447813883411533e-11	1.6025604771991015e-10
1.8078442451026044e-07	1.9098018134651017e-14
1.1786515512162733e-05	1.3143309480974273e-11
2.2570929141631486e-17	6.3256037857889076e-06
2.359418948593367e-12	1.8394025504784463e-12
7.566062471351854e-20	1.0563904176012395e-07
1.9321783488557857e-12	1.8373321983785045e-09
6.682194330433028e-11	7.786873590453985e-12
7.961131522446552e-12	1.3717347276407199e-06
